class,text
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
11,"Passer montanus: Series of bright, chirpy notes, short and repetitive."
